id,RESOLUTIONDATE
10206,2014/03/03 09:20:14
10218,2014/08/29 10:16:22
10235,2014/03/03 09:20:11
10246,2014/03/03 09:20:09
10250,2014/03/03 09:20:20
10257,2014/03/03 09:20:19
10266,2014/03/03 09:20:20
10279,2014/03/03 09:20:14
10302,2014/03/03 09:20:15
10303,2014/03/03 09:20:13
10306,2014/03/03 09:20:12
10309,2014/03/03 09:20:20
10310,2014/03/03 09:20:24
10312,2014/03/03 09:20:25
10313,2014/03/03 09:20:21
10317,2014/03/03 09:20:13
10321,2014/03/03 09:20:18
10323,2014/03/03 09:20:09
10324,2014/03/03 09:20:11
10325,2014/03/03 09:20:22
10326,2014/03/03 09:20:18
10327,2014/03/03 09:20:15
10336,2014/03/03 09:20:20
10355,2014/03/03 09:20:21
10363,2014/03/03 09:20:15
10364,2014/03/03 09:20:19
10372,2014/08/29 10:19:13
10373,2014/08/29 10:19:43
10380,2014/03/03 09:20:23
10381,2014/08/29 10:21:00
10386,2014/03/03 09:20:14
10392,2014/03/03 09:20:08
10543,2014/03/03 09:20:19
10547,2014/03/03 09:20:16
10548,2014/03/03 09:20:14
10611,2014/03/03 09:20:18
10639,2014/03/03 09:20:22
10682,2014/03/03 09:20:18
10683,2014/03/03 09:20:21
10718,2014/03/03 09:20:11
10748,2014/03/03 09:20:23
10777,2014/03/03 09:20:12
10788,2014/03/03 09:20:20
10790,2014/03/03 09:20:19
10794,2014/03/03 09:20:09
10797,2014/03/03 09:20:10
10798,2014/03/03 09:20:23
10799,2014/03/03 09:20:20
10800,2014/03/03 09:20:23
10805,2014/03/03 09:20:24
10806,2014/03/03 09:20:18
10807,2014/03/03 09:20:10
10808,2014/03/03 09:20:11
10818,2014/03/03 09:20:08
10819,2014/03/03 09:20:14
10821,2014/03/03 09:20:17
10822,2014/03/03 09:20:08
10823,2014/03/03 09:20:17
10825,2014/03/03 09:20:23
10832,2014/03/03 09:20:22
10833,2014/03/03 09:20:11
10900,2014/03/03 09:20:18
10901,2014/03/03 09:20:21
10909,2014/08/11 09:42:14
10925,2014/07/04 10:03:04
10943,2014/03/03 09:20:19
10944,2014/03/03 09:20:21
10988,2015/04/21 08:47:11
11001,2014/03/03 09:20:12
11200,2014/03/03 09:20:24
11213,2014/03/03 09:20:12
11220,2014/03/03 09:20:08
11504,2014/04/08 14:13:58
11628,2014/03/03 09:20:13
11714,2014/11/28 11:47:24
11716,2014/05/07 14:12:07
11802,2014/02/04 16:40:42
11803,2014/05/01 16:53:47
11804,2014/11/28 09:02:58
11813,2013/12/12 18:59:12
12161,2014/05/29 17:03:30
12337,2014/03/03 09:20:10
12343,2014/04/08 14:14:49
12403,2014/05/14 15:01:26
12404,2014/05/29 11:04:48
12405,2014/05/14 10:34:45
12410,2014/03/03 09:20:13
12424,2014/03/03 09:20:24
12425,2013/12/12 18:57:42
12477,2014/03/03 09:20:23
12479,2014/03/03 09:20:10
12495,2014/05/30 10:09:32
12497,2014/05/14 15:03:03
12498,2014/05/14 15:04:23
12499,2014/03/03 09:20:14
12509,2014/05/14 10:34:30
12516,2015/04/01 05:56:19
12523,2014/05/14 15:03:39
12529,2014/03/03 09:20:12
12532,2014/03/17 17:15:59
12555,2014/05/14 10:34:16
12767,2013/12/25 09:55:17
12904,2014/03/03 09:20:15
12910,2014/03/03 09:20:15
12911,2014/03/03 09:20:15
12916,2014/03/03 09:20:19
12917,2014/03/03 09:20:16
12926,2014/03/03 09:20:22
12984,2015/04/01 05:56:54
12985,2015/04/01 05:57:25
12990,2014/03/03 09:20:09
13012,2014/03/03 09:20:25
13014,2014/05/14 15:02:17
13015,2014/05/14 15:02:44
13016,2014/05/14 10:33:59
13017,2014/05/14 10:33:41
13031,2014/03/03 09:20:11
13038,2014/03/03 09:20:13
13050,2014/05/12 09:57:49
13054,2014/10/31 12:01:56
13055,2014/05/14 15:04:00
13060,2014/05/14 10:33:14
13062,2014/03/03 09:20:10
13066,2014/04/17 11:41:36
13072,2015/07/29 21:37:53
13074,2014/05/19 20:24:26
13076,2014/11/27 13:28:12
13096,2014/04/08 14:30:53
13097,2014/03/03 09:20:21
13101,2014/08/30 09:56:25
13113,2014/03/03 09:20:18
13116,2014/04/21 15:39:01
13118,2014/04/17 11:44:52
13158,2014/03/03 09:20:17
13160,2014/03/03 09:20:23
13165,2015/09/17 15:29:44
13166,2015/09/18 16:14:09
13170,2014/03/03 09:20:13
13333,2014/03/03 09:20:08
13334,2014/04/08 14:32:17
13382,2014/04/08 14:32:27
13440,2014/03/27 11:26:46
13443,2014/04/08 14:32:51
13454,2014/04/18 03:04:34
13468,2014/04/17 11:44:39
13473,2014/01/21 13:06:36
13478,2014/04/08 14:33:04
13479,2014/04/08 14:33:22
13539,2014/03/17 17:04:45
13540,2014/03/17 17:05:03
13541,2014/12/17 11:17:51
13542,2014/03/17 17:04:46
13543,2014/03/17 17:04:48
13544,2014/03/29 03:37:22
13545,2014/10/28 08:13:43
13546,2014/03/29 03:32:42
13547,2014/10/21 07:14:36
13548,2014/10/21 08:51:57
13549,2014/10/21 08:52:25
13550,2014/03/29 05:43:39
13551,2015/01/23 10:56:40
13552,2015/01/23 10:53:54
13553,2014/07/16 00:07:20
13554,2015/01/23 10:57:20
13555,2015/01/23 10:56:31
13556,2014/07/16 01:56:08
13557,2014/08/29 07:51:52
13558,2014/12/05 06:51:06
13559,2015/01/23 10:54:08
13560,2014/12/05 06:51:32
13561,2014/12/24 15:58:24
13562,2014/12/17 11:17:44
13563,2015/01/23 10:54:20
13564,2015/01/23 10:54:40
13565,2015/01/23 10:54:54
13567,2015/01/23 10:55:03
13568,2015/01/23 10:55:13
13569,2015/01/23 10:52:35
13570,2014/12/19 06:30:10
13571,2015/01/23 10:55:34
13572,2015/01/23 10:55:44
13573,2015/01/23 10:55:24
13574,2014/10/21 09:56:27
13575,2014/04/05 05:49:41
13576,2014/04/05 05:49:47
13577,2014/04/05 05:43:53
13578,2014/03/17 17:04:49
13579,2014/04/05 05:43:31
13580,2014/04/05 05:42:52
13581,2014/04/05 05:45:31
13582,2014/04/05 05:45:22
13583,2014/04/05 05:45:04
13584,2014/04/05 05:45:14
13585,2014/04/05 05:46:35
13586,2014/04/05 05:46:28
13587,2014/04/05 05:46:21
13588,2014/04/05 05:46:16
13589,2015/01/23 10:55:54
13590,2014/12/10 04:34:48
13599,2014/04/08 14:33:35
13605,2014/04/08 14:33:48
13606,2015/01/23 10:56:03
13607,2015/01/23 10:56:13
13608,2014/10/28 08:16:16
13609,2014/04/05 05:42:40
13611,2014/03/17 17:04:55
